거래일자,승인시각,가맹점명,업종,승인금액,할부개월,승인번호,취소여부
20260401,083500,스타벅스 종로점,일반음식,5800,0,89001234,N
20260401,123015,쿠팡이츠 한식,통신판매,12500,0,89001235,N
20260402,191045,더킹스 도토리 광화문점,일반음식,38000,0,89001236,N
20260402,213000,GS25 서울대점,편의점,4800,0,89001237,N
20260403,140000,어린이집 등원비,교육,800000,0,89001238,N
20260403,190530,SSG닷컴 식품관,통신판매,124000,0,89001239,N
20260404,083000,스타벅스 종로점,일반음식,6500,0,89001240,N
20260404,201500,홈플러스 강남점,대형마트,86500,0,89001241,N
20260404,214500,Netflix 가족멤버십,통신판매,17000,0,89001242,N
20260404,214530,Netflix 베이직,통신판매,13500,0,89001243,N
20260405,123000,서브웨이 강남역,일반음식,9800,0,89001244,N
20260405,153000,쿠팡로켓,통신판매,42000,0,89001245,N
20260406,103000,투썸플레이스 광화문,일반음식,8400,0,89001246,N
20260406,180045,KFC 강남,일반음식,28000,0,89001247,N
20260407,090000,스타벅스 종로점,일반음식,6500,0,89001248,N
20260407,213000,SK텔레콤 통신비,통신,128000,0,89001249,N
20260408,143000,LG전자 가전매장,가전,1290000,12,89001250,N
